,overlay_append,upx_pack,upx_unpack,inject_random_codecave,section_rename,pert_dos_stub,pert_optional_header_dllchlist,pert_rich_header,pert_dos_header,section_add,section_append,pert_optional_header,pert_coff_header,pert_data_directory
bypassed,1.778443114,2.107648725,0.976623377,1.478787879,1.823838738,1.844868735,0.756042296,1.308584687,1.869458128,5.335051546,1.942880795,0.756042296,1.874172185,2.310536044
success_rate,0.93015873,0.918149466,0.919266055,0.904684976,0.925350701,0.927536232,0.931775111,0.931098696,0.933368037,0.201980198,0.884125921,0.931775111,0.864693446,0.21804878
total,1.654234388,1.935136552,0.897776719,1.337837176,1.687690455,1.711182595,0.704461394,1.218421496,1.744892464,1.677574768,1.717751272,0.704461394,1.620584406,0.503809567
