,overlay_append,upx_pack,upx_unpack,remove_signature,remove_debug,break_optional_header_checksum,inject_random_codecave,section_rename,pert_dos_stub,pert_bin_name,pert_optional_header_dllchlist,pert_optional_header_dllch,pert_rich_header,pert_dos_header,section_add,section_append
agenttesla,0.124668624,0.03174824,0.150786692,0.073093271,0.018264904,0.095822544,0.121607609,0.084719523,0.118479413,0.16848662,0.153664287,0.089795895,0.033647473,0.128696055,0.107171193,0.092159686
avemariarat,0.112390653,0.179906694,0.131938356,0.005997397,0.196576025,0.081449163,0.144778369,0.115880726,0.079745759,0.031965841,0.068179288,0.106165431,0.047106463,0.162264185,0.078968247,0.062625217
formbook,0.106656436,0.084415863,0.053010947,0.14438177,0.147812074,0.044511117,0.111800544,0.133433248,0.121213553,0.061771828,0.135408341,0.073328685,0.104681028,0.132785462,0.146655317,0.159629149
guloader,0.137621208,0.081795813,0.092745783,0.110452054,0.177973221,0.17248058,0.128073172,0.12269724,0.11789613,0,0.051707401,0.191687584,0.209362056,0.136005177,0,0.114141478
loki,0.120418557,0.216190397,0.279234615,0.19491539,0.150779928,0.162898325,0.122322948,0.108455596,0.153111857,0.196495904,0.121829894,0.135308883,0.166891467,0.058170179,0.141820526,0.118292077
nanocore,0.061400231,0.12699296,0.116231409,0.202003222,0.010958942,0.19943067,0.169892983,0.131719096,0.100111599,0.231331743,0.078448528,0.101481662,0.149632293,0.09766467,0.122212764,0.102321293
netwire,0.119271714,0.167767661,0.03326177,0.033414067,0.134247042,0.081449163,0.046497027,0.097357592,0.150559993,0.091568815,0.133350665,0.085051298,0.15074068,0.102716291,0.081224483,0.10824574
njrat,0.05766984,0.016836188,0.034269703,0.057175181,0.065753653,0.109760369,0.067957193,0.079753206,0.078948301,0.080580557,0.11200883,0.065399293,0.06942005,0.048110675,0.191780029,0.092896964
remcosrat,0.159902737,0.094346185,0.108520725,0.178567648,0.097634212,0.05219807,0.087070154,0.125983773,0.079933396,0.137798692,0.145402766,0.151781269,0.068518491,0.133587307,0.130167441,0.149688395
